,出港航班号FLT,出港停机位,出港机型TYS,出港是否流控管制,起飞跑道,推出时间窗,排队长度,同时段离港,同时段进港,推出滑行时间
6032,9C8885,86,1,1,1,34,1,3,5,900
6033,MU5689,66,15,0,1,35,1,3,2,660
6034,MU5808,44,8,1,1,35,2,5,4,1080
6035,MU5307,65,15,1,1,35,3,2,3,840
6036,MU5115,14,9,1,1,35,2,5,5,1140
6037,MU5810,49,15,1,1,35,4,3,5,1047
6038,FM9361,21,15,0,1,35,4,3,5,1140
6039,SC4850,23,15,1,1,36,4,1,3,828
6040,9C8895,11,1,0,1,36,3,6,4,1001
6041,MU5517,51,6,1,1,36,3,4,3,549
6042,MU2994,108,2,0,1,36,3,1,4,480
6043,CA1522,25,15,1,1,36,4,3,5,583
6044,MU5117,53,9,1,1,36,2,4,6,780
6045,OZ3625,5,9,0,1,36,5,3,5,893
6046,MU2405,58,15,1,1,36,3,3,3,600
6047,FM9116,28,15,1,1,36,4,2,2,660
6048,HO1079,36,1,0,1,37,4,1,1,634
6049,MU2166,56,2,0,1,37,1,2,2,556
6050,MU5313,29,8,1,1,37,2,1,2,660
6051,HO1143,35,6,1,1,37,3,4,4,1263
6052,MU5209,57,15,0,1,37,3,4,2,705
6053,FM9363,55,14,0,1,37,3,1,1,533
6054,KE816,4,19,0,1,37,2,5,4,1032
6055,MU5581,48,2,1,1,37,4,3,3,914
6056,FM9425,24,15,1,1,37,2,4,4,1140
6057,MU5579,47,5,0,1,38,4,1,2,520
6058,MU5549,67,3,0,1,38,3,3,3,840
6059,FM9395,92,14,0,1,38,4,3,2,660
6060,MF8542,34,15,0,1,38,4,3,0,564
6061,9C8931,82,1,1,1,38,2,7,2,1020
6062,MU5119,43,10,1,1,38,3,5,2,1020
6063,9C8523,9,5,0,1,38,2,6,3,1260
6064,FM9327,118,21,1,1,38,5,2,3,1080
6065,MU5347,71,15,1,1,38,3,4,4,1380
6066,KN5956,50,15,1,1,38,6,2,5,1316
6067,9C8949,10,5,1,1,38,7,1,6,1440
6068,MU5157,116,9,1,1,39,3,2,5,900
