,出港航班号FLT,出港停机位,出港机型TYS,出港是否流控管制,起飞跑道,推出时间窗,排队长度,同时段离港,同时段进港,推出滑行时间
0,9C9801,81,5,0,1,3,0,0,0,480
1,9C8917,100,1,0,0,13,0,0,0,600
2,FM9279,44,15,0,1,13,0,3,0,474
3,MU5459,29,5,0,1,13,1,2,0,540
4,9C8909,98,5,1,0,13,0,4,0,780
5,HO1131,22,1,1,1,14,1,5,0,619
6,9C8821,119,5,1,0,14,1,8,0,960
7,MU5633,12,5,0,1,14,1,7,0,720
8,MU555Q,64,1,0,1,14,2,7,0,660
9,FM9463,55,15,1,1,14,3,6,0,563
10,9C8635,9,5,1,0,14,1,6,0,600
11,FM9535,18,12,1,1,14,4,9,0,780
12,FM9073,47,15,1,1,14,5,8,0,641
13,9C8819,82,1,0,0,14,1,8,0,660
14,FM9537,120,15,0,0,14,2,7,0,660
15,HO1085,28,5,0,1,14,4,11,0,1059
16,FM9227,15,15,0,1,14,3,6,0,780
17,FM9205,57,15,1,1,14,4,7,0,854
18,MU5137,46,9,1,1,14,5,6,0,809
19,FM9231,60,14,1,1,14,5,6,0,911
20,9C8835,10,5,0,0,14,3,6,0,1020
21,9C8845,99,1,0,0,14,2,8,0,1200
22,9C8957,84,1,1,0,14,4,7,0,1140
23,MU2510,52,15,0,1,15,3,3,0,540
24,MU5571,54,15,1,1,15,5,8,0,1146
25,HO1123,26,6,0,1,15,3,6,0,889
26,9C8815,11,5,1,0,15,3,7,0,1140
27,MU5389,58,6,0,1,15,4,6,0,907
28,MF8518,24,15,1,1,15,4,2,0,488
29,MU5395,73,15,0,1,15,4,5,0,900
30,9C8953,83,5,1,0,15,2,6,0,1080
31,9C8897,96,5,0,0,15,2,5,0,1020
32,FM9307,2,9,0,0,15,2,2,0,618
33,HO1111,39,21,0,1,15,3,5,0,879
34,FM9213,48,15,1,1,16,2,3,0,667
35,9C8903,80,1,1,0,16,2,3,0,720
36,FM9245,102,15,0,1,16,3,2,0,540
37,HO1217,30,6,0,1,16,2,4,0,685
38,FM9263,61,15,1,1,16,2,6,0,705
39,MU5401,13,8,0,1,16,3,5,1,660
40,MU5814,36,15,1,1,16,3,7,1,874
41,FM9421,63,6,0,1,16,3,6,1,780
42,CA1858,43,21,1,1,16,4,6,1,809
43,FM9415,33,13,0,1,16,6,5,1,775
44,MU9720,49,14,1,1,16,5,8,1,970
45,MU511,6,9,0,1,16,6,6,0,900
46,FM9331,56,15,1,1,16,6,8,0,819
47,HO1119,37,21,0,1,17,6,7,0,816
48,MU5363,35,5,1,1,17,6,7,0,925
49,FM9147,23,15,1,1,17,6,6,1,605
50,CZ3590,59,2,1,1,17,6,8,1,1003
51,MU5101,41,10,1,1,17,7,8,1,789
52,MU2152,50,6,0,1,17,8,5,3,877
53,MU721,7,2,1,1,17,7,5,4,1013
54,MU2285,115,2,1,1,17,6,5,4,1200
55,FM9453,66,14,1,1,17,7,5,5,1320
56,FM9217,1,15,1,1,17,7,5,5,1178
57,HU7604,34,15,1,1,17,7,4,5,1109
58,FM9301,51,15,1,1,17,8,2,6,1160
59,FM815,4,21,0,1,18,5,1,4,622
61,MU5151,40,9,1,1,18,5,2,6,828
62,FM9513,27,15,1,1,18,2,2,2,408
63,MU5203,70,1,1,1,18,2,2,1,660
64,CA1590,38,8,1,1,18,1,5,2,841
65,MU5333,111,1,1,1,18,3,3,1,720
66,FM9163,25,15,1,1,18,3,4,1,780
67,MU5529,105,1,1,1,19,3,1,1,360
68,9C8847,97,1,1,1,19,4,4,3,780
69,FM9451,16,15,1,1,19,3,6,3,1080
70,MU5691,103,2,1,1,19,3,5,2,660
71,MU5663,71,5,1,1,19,4,4,2,660
72,FM9127,14,15,0,1,19,2,5,3,900
73,9C8887,76,5,0,1,19,5,4,2,780
74,FM9269,131,15,1,1,19,5,3,1,780
75,FM9201,75,13,0,1,19,6,4,1,900
76,MU5405,19,15,0,1,19,4,5,3,1140
77,MU5423,109,6,0,1,19,4,6,3,1020
78,MU5103,45,19,1,1,20,4,6,4,1075
79,MU537,5,9,0,1,20,4,6,4,896
80,MU5153,42,9,1,1,20,5,6,6,1014
81,MU5017,3,9,1,1,20,4,5,3,755
82,FM9251,20,15,1,1,20,5,7,3,900
83,FM9305,126,15,1,1,20,6,6,4,900
84,CZ3548,53,21,1,1,20,6,11,5,1204
85,NX137,7,6,1,1,20,6,9,4,910
86,MU5105,69,9,1,1,20,5,7,2,840
87,MU5337,67,2,1,1,20,6,10,3,1200
88,CZ3576,58,2,1,1,20,7,7,3,949
89,MF8502,22,15,1,1,20,6,9,4,1081
90,SC4662,24,15,1,1,21,7,8,2,867
91,FM817,0,15,1,1,20,7,9,4,1244
92,HO1255,32,5,1,1,21,9,6,3,1041
93,MU5393,72,15,1,1,21,8,7,4,1320
94,MU5535,48,5,1,1,21,10,6,5,1292
95,FM9115,17,15,1,1,21,9,6,5,1260
96,FM9399,127,14,1,1,21,9,6,5,1140
97,HO1097,29,21,1,1,21,8,7,4,1085
98,MU5303,74,15,1,1,21,8,6,5,1140
99,HO1177,23,6,1,1,21,9,5,6,1234
100,MU5513,47,6,1,1,21,7,6,5,948
101,9C8881,9,5,1,1,21,6,5,5,739
102,SC4862,35,15,1,1,21,6,4,6,835
103,SC4950,31,15,0,1,21,7,2,5,800
104,FM9297,101,14,1,1,22,6,0,3,540
105,CZ3592,52,13,0,1,21,6,3,7,1159
106,9C8823,10,5,1,1,22,5,2,6,806
107,MU5665,93,5,1,1,22,1,2,3,660
108,CA1832,43,19,1,1,22,1,1,3,768
109,CZ3534,40,19,0,1,22,3,2,3,637
110,MU5107,37,9,1,1,23,3,2,2,433
111,SC4668,27,15,1,1,23,2,5,4,756
112,HO1209,36,6,1,1,23,4,2,3,569
113,MU2506,51,15,0,1,23,3,3,4,799
114,HU7606,30,21,1,1,23,4,3,4,644
115,MU5143,107,6,1,1,23,5,3,4,840
116,KN5738,50,15,1,1,23,4,2,1,567
117,MU5305,44,9,0,1,23,3,2,2,712
118,HO1211,28,1,1,1,23,4,1,1,662
119,MF8574,33,15,0,1,23,4,2,1,526
120,CA4544,32,15,0,1,24,3,1,4,584
121,MU5343,125,6,1,1,24,2,4,6,900
122,MU5275,47,5,1,1,24,3,4,8,1046
123,CZ3524,45,19,0,1,24,3,4,4,771
124,KN2318,57,15,1,1,24,5,3,6,717
125,9C8837,9,5,1,1,24,4,4,7,854
126,FM9465,61,15,0,1,24,5,2,5,540
127,MU2409,49,15,1,1,24,5,1,6,682
128,FM9391,118,15,0,1,24,5,4,10,1260
129,CZ3262,59,15,1,1,25,4,3,6,755
130,CZ3966,60,2,1,1,25,3,3,5,610
131,CA4516,22,2,1,1,25,3,2,5,727
132,MU5341,56,1,1,1,25,4,1,3,540
133,FM9457,46,15,1,1,25,4,3,6,899
134,MU5301,55,15,0,1,25,3,3,5,539
135,MU2219,48,6,1,1,25,3,4,6,641
136,MU2154,52,1,1,1,26,3,3,7,751
137,MU5802,29,21,1,1,26,4,4,8,901
138,FM9357,58,13,1,1,26,4,4,6,810
139,9C8865,98,5,1,1,26,5,4,6,780
140,FM9573,21,15,1,1,26,5,2,4,642
141,9C8855,10,5,0,1,26,5,3,7,877
142,MU5427,50,15,0,1,26,5,2,7,910
143,9C8829,11,1,0,1,26,5,2,8,1020
144,FM9371,31,15,1,1,26,3,2,4,542
145,MU5519,133,15,0,1,27,3,2,4,540
146,MU2469,57,15,0,1,27,3,2,7,745
147,FM9333,27,15,1,1,27,3,1,6,636
148,MU2508,26,15,0,1,27,3,3,5,516
149,MU5647,35,5,1,1,27,4,3,4,540
150,FM9103,51,15,1,1,27,3,5,8,845
151,MU2156,46,1,1,1,27,6,3,5,567
152,MU5804,28,15,1,1,27,5,4,6,752
153,9C8807,9,5,1,1,27,2,7,12,1472
154,SC8744,24,15,1,1,28,6,4,6,787
155,KA813,6,9,1,1,27,4,7,11,1389
156,MU9726,47,14,1,1,28,7,3,6,822
157,MU5109,38,9,1,1,28,6,5,7,1080
158,FM9063,117,15,1,1,28,5,6,6,840
159,HO1159,36,6,1,1,28,6,6,5,840
160,HO1113,32,1,1,1,28,5,5,5,840
161,CZ3532,45,19,0,1,28,5,5,5,728
162,NX109,7,2,1,1,28,5,5,4,829
163,NH970,4,20,0,1,28,7,5,4,731
164,MU5271,60,2,0,1,28,6,8,7,1280
165,9C8765,11,5,1,1,29,7,7,7,1162
166,FM9219,20,15,1,1,29,6,7,6,1020
167,FM9309,48,15,0,1,29,6,9,8,1140
168,MU2434,59,1,0,1,29,7,8,7,1099
169,MU2403,75,15,1,1,29,7,8,7,1260
170,MU5097,1,9,0,1,29,6,9,8,1380
171,SC4664,22,15,1,1,29,10,3,3,595
172,9C8775,10,5,1,1,29,8,9,9,1483
173,MU2158,49,6,1,1,29,8,8,7,1205
174,MU5307,56,15,0,1,29,8,9,6,1193
175,MU5155,33,5,1,1,29,8,7,6,1129
176,TV9866,30,8,0,1,29,9,7,7,1224
177,MU5113,40,9,1,1,29,10,5,6,1150
178,SC4864,21,15,1,1,30,9,2,5,744
179,MU5345,61,15,1,1,30,9,0,4,660
180,FM9329,129,15,0,1,29,10,5,8,1440
181,MU5111,78,9,1,1,30,9,5,7,1260
182,9C8947,100,1,1,1,30,8,5,10,1500
183,FM9209,52,15,1,1,30,4,6,6,813
184,CA1558,46,21,1,1,30,4,7,7,1044
185,HO1215,31,6,1,1,30,4,7,7,1052
186,8L9888,108,5,0,1,31,8,3,2,517
187,MU5115,37,9,1,1,30,5,7,8,1131
188,FM9403,34,15,0,1,31,6,6,6,992
189,HO1125,28,6,0,1,31,6,9,8,1332
190,MU5429,51,5,0,1,31,7,6,5,1190
191,HO1249,26,6,0,1,31,7,6,6,1146
192,CZ3538,44,21,0,1,31,8,7,7,1263
193,CZ6982,54,15,0,1,31,8,7,6,1264
194,MU5806,55,15,1,1,31,6,5,5,905
195,MF8582,25,15,0,1,31,7,7,6,1235
196,FM845,3,9,1,1,31,7,5,5,1125
197,MU2160,58,6,1,1,31,6,4,5,926
198,FM9375,27,6,0,1,32,7,4,6,997
199,MU5347,50,6,1,1,32,7,6,8,1213
200,FM9315,35,15,0,1,32,7,4,10,1287
201,FM9521,36,15,0,1,32,6,4,9,1080
202,MU5515,71,6,1,1,32,5,3,5,600
203,CZ3540,53,8,0,1,32,4,5,9,975
204,MU2055,0,2,1,1,32,5,4,10,1001
205,MU5439,48,6,1,1,32,4,0,6,760
206,MU5117,45,10,1,1,32,5,1,7,862
207,FM823,4,15,0,1,32,4,5,9,1125
208,SC4670,22,15,1,1,33,2,5,4,563
209,FM9207,47,15,1,1,33,2,5,3,712
210,CZ6974,59,15,0,1,33,3,7,5,869
211,FM9185,56,13,1,1,33,5,2,4,591
212,MU2522,32,15,0,1,33,3,6,6,1073
213,FM9379,24,15,1,1,33,5,6,7,1080
214,9C8995,97,5,0,1,33,4,7,8,1260
215,MU5313,40,8,0,1,33,6,5,8,1241
216,MU5385,34,5,0,1,33,6,6,8,1021
217,FM9549,57,15,0,1,33,7,5,10,1320
218,FM9373,33,15,1,1,34,6,3,10,1140
219,9C8949,9,5,1,1,34,5,5,11,1356
220,CZ3562,61,2,1,1,34,5,3,9,1141
221,TV9882,30,8,0,1,34,6,2,8,1087
222,HO1155,38,21,1,1,34,5,2,9,1218
223,CA1518,39,9,1,1,34,4,2,5,690
224,MU5119,41,19,1,1,35,3,3,4,648
225,SC4850,21,15,1,1,35,2,2,4,435
226,CZ3526,54,9,0,1,35,2,1,5,793
227,MU5353,37,9,1,1,35,3,2,6,830
228,MU5157,12,9,1,1,35,1,6,4,900
229,FM9501,35,15,1,1,35,2,5,4,816
230,FM9425,0,15,0,1,35,2,6,5,1148
231,MF8522,28,15,1,1,35,3,4,5,917
232,9C8895,99,5,0,1,35,4,3,5,1020
233,9C8885,10,5,1,1,36,5,3,5,996
234,MU5543,60,1,1,1,36,6,4,5,1200
235,FM9327,1,21,0,1,36,7,4,6,1277
236,MU5517,53,6,1,1,36,3,4,4,736
237,CZ6996,55,15,0,1,36,4,2,4,620
238,MU5808,43,8,1,1,36,4,5,3,600
239,CA1522,42,19,1,1,36,3,7,6,1006
240,MU2994,52,6,0,1,36,4,5,3,779
241,HO1193,44,21,1,1,37,3,4,1,576
242,OZ3625,6,9,0,1,37,4,5,2,669
243,FM9116,51,15,0,1,37,5,4,2,705
244,MU2166,50,2,1,1,37,5,2,1,468
245,9C8931,11,5,0,1,37,6,4,3,880
246,MU5121,3,9,1,1,37,6,6,4,1090
247,CA1524,22,15,1,1,37,5,4,4,736
248,MU5810,56,15,1,1,37,5,6,5,825
249,FM9363,59,12,0,1,37,4,5,6,780
250,MU5689,48,15,0,1,37,4,4,5,780
251,KE816,4,19,0,1,37,4,4,4,698
252,MU5355,58,2,1,1,37,5,3,4,764
253,MU2405,46,15,1,1,37,4,5,5,912
254,SC4674,24,15,1,1,37,6,4,6,978
255,FM9395,102,15,0,1,38,4,1,4,660
256,HU7610,29,9,1,1,38,4,4,5,857
257,MU5579,57,1,0,1,38,5,2,6,960
258,HO1133,31,6,1,1,38,4,2,4,834
259,CA1516,40,8,1,1,38,3,4,6,861
260,MF8552,21,15,1,1,38,2,3,6,818
261,MF8542,32,15,0,1,38,2,2,5,559
262,MU5123,13,9,1,1,38,3,1,3,600
263,MU5549,26,5,0,1,39,4,1,2,656
264,MU5209,27,15,0,1,39,1,1,1,420
265,MU5411,23,15,0,1,39,1,3,5,552
266,MU5315,72,15,0,1,39,1,4,5,660
267,MU5581,61,2,1,1,39,2,2,5,600
268,MU5413,107,1,0,1,39,4,2,1,360
269,HX239,1,9,1,1,39,3,4,6,926
270,MU2168,37,9,1,1,39,3,5,3,755
271,FM9313,36,15,0,1,39,3,4,2,660
272,MU5357,49,6,1,1,39,4,4,4,729
273,KN2218,50,15,1,1,40,3,2,4,590
274,BR771,2,9,0,1,40,4,3,5,729
275,FM9321,28,13,0,1,40,4,1,3,501
276,9C8853,9,1,1,1,40,4,4,6,1019
277,KN5956,47,15,1,1,40,3,2,2,840
278,MU2512,48,15,0,1,40,3,2,4,801
279,9C8737,11,5,1,1,40,2,4,5,1027
280,MU5415,51,2,0,1,41,3,2,4,540
281,CA1528,22,15,1,1,41,2,3,7,910
282,CA1550,41,19,1,1,41,4,1,6,736
283,SC1168,35,15,1,1,41,4,0,5,763
284,MU5359,59,6,1,1,42,3,2,4,539
285,MU5125,38,9,1,1,41,1,5,8,953
286,MU5812,26,15,1,1,42,2,6,7,860
287,MU2170,44,9,1,1,42,4,4,7,747
288,MU5309,55,15,0,1,42,5,5,7,749
289,CA4502,24,2,0,1,42,5,4,5,701
290,MU2407,57,15,1,1,42,6,3,7,729
291,MU5350,52,5,1,1,42,5,3,8,960
292,HO1151,33,6,1,1,42,6,2,8,851
293,HO1235,32,6,1,1,42,5,1,5,616
294,9C8803,10,5,0,1,42,5,3,10,1140
295,MU5159,30,9,1,1,43,4,2,3,554
296,MU2514,61,15,0,1,43,3,2,4,600
297,CA4542,31,14,0,1,43,3,1,4,544
298,MU5523,49,6,1,1,43,3,0,4,600
299,MF8536,28,14,0,1,44,2,2,5,664
300,MU2128,60,1,0,1,44,3,1,5,660
301,MU5577,33,5,1,1,44,3,1,5,600
302,9C8955,97,1,1,1,44,4,3,9,1020
303,MU5559,47,5,0,1,44,4,0,3,471
304,CZ3546,41,19,1,1,44,4,1,10,1090
305,FM9107,21,15,1,1,45,2,1,6,900
306,NX105,7,2,1,1,45,3,0,8,989
307,CZ3582,54,9,1,1,46,2,1,2,326
308,MF8546,23,15,0,1,46,3,0,2,535
309,HU7602,40,10,1,1,46,2,0,2,355
310,9C8929,9,5,1,1,46,2,2,7,960
311,MU5311,35,15,1,1,47,2,1,7,900
312,MU5331,53,9,1,1,47,3,0,5,720
313,MU5539,49,5,0,1,13,0,0,0,582
314,MU5459,54,5,0,1,13,0,2,0,540
315,9C8917,115,5,0,0,13,0,2,0,600
316,9C8821,9,5,1,0,13,1,4,0,660
317,FM9279,114,15,0,0,14,2,3,0,660
318,FM9073,106,15,1,1,14,1,3,0,360
319,9C8827,11,1,0,0,14,2,5,0,525
320,HO1131,22,1,1,1,14,0,5,0,568
321,MU5633,71,5,1,1,14,2,4,0,540
322,MU5451,0,2,1,0,14,1,5,0,608
323,FM9231,76,14,1,1,14,3,4,0,720
324,FM9535,68,14,1,1,14,3,5,0,660
325,FM9537,25,15,1,1,14,3,4,0,585
326,FM9227,32,15,0,1,14,4,5,0,660
327,FM9205,58,15,1,1,14,4,4,0,626
328,MU5137,30,9,1,1,14,4,4,0,510
329,9C8819,83,1,0,0,14,0,5,0,720
330,9C8845,123,5,0,0,15,2,5,0,600
331,9C8957,97,5,1,0,14,1,6,0,720
332,9C8607,82,5,1,0,15,3,3,0,540
333,MU5571,67,15,1,1,15,1,4,0,780
334,MU5389,51,6,0,1,15,1,3,0,840
335,9C8835,124,5,0,0,15,3,2,0,840
336,MU2510,126,15,0,1,15,2,2,0,900
337,9C8815,85,1,1,0,15,1,4,0,780
338,FM9307,61,15,0,1,15,1,4,0,604
339,MU5395,125,15,0,1,15,1,3,0,660
340,9C8897,99,5,0,0,15,1,5,0,900
341,HO1111,38,21,0,1,15,2,3,0,923
342,9C8909,84,5,1,0,15,1,2,0,900
343,FM9245,105,15,0,1,16,2,3,0,780
344,HO1217,26,6,1,1,16,3,2,0,744
345,FM9421,16,6,1,1,16,2,6,0,600
346,CZ3590,60,2,0,1,16,3,7,0,862
347,FM9263,55,15,1,1,16,3,5,0,587
348,9C8903,10,5,1,0,16,0,7,0,767
349,MU5363,52,5,0,1,16,4,7,0,780
350,FM9331,24,15,0,1,16,5,7,0,818
351,CA1858,43,21,1,1,16,6,6,0,757
352,MU5401,127,8,1,1,16,2,15,0,1440
353,FM9415,34,15,0,1,16,6,9,0,935
354,MU511,3,9,0,1,17,7,6,1,658
355,MU2285,104,2,1,1,17,6,8,1,840
356,HO1119,39,21,1,1,17,6,10,1,1085
357,MU5814,33,15,1,1,17,9,6,1,956
358,MU2152,48,6,1,1,17,8,8,1,1080
359,FM9147,101,15,1,1,17,9,5,1,900
360,MU721,4,9,1,1,17,10,6,1,963
361,FM9217,73,15,1,1,17,8,9,2,1200
362,FM9515,56,13,0,1,17,7,11,2,1320
363,FM9453,14,14,1,1,17,8,6,1,900
364,HO1207,28,6,1,1,17,7,5,2,732
365,HU7604,36,15,1,1,17,8,3,2,773
366,FM9301,59,15,0,1,17,8,5,2,982
367,MU5101,41,10,1,1,17,8,4,3,884
369,HU7883,27,15,1,1,17,8,3,5,957
370,FM9513,12,15,1,1,17,8,4,7,1200
371,FM9163,31,15,1,1,18,5,4,7,733
372,MU9720,50,14,1,1,18,4,4,4,609
373,FM815,1,21,0,1,18,5,6,6,889
374,CZ3596,53,9,0,1,18,3,4,3,621
375,FM9213,129,15,1,1,18,5,1,2,474
376,CA1590,42,17,1,1,18,4,4,5,921
377,CZ6998,57,15,1,1,18,4,6,4,826
378,MU5333,37,9,1,1,18,5,5,4,875
379,MU5151,46,9,1,1,18,5,3,4,736
380,ZH9520,102,1,0,1,19,5,1,1,391
381,MU5663,47,5,1,1,19,3,3,2,654
382,MU5509,100,1,1,1,19,4,3,2,840
383,MF8177,21,15,1,1,19,2,1,1,415
384,MU5203,66,1,1,1,19,2,2,1,390
385,9C8887,96,5,0,1,19,3,4,3,1080
386,FM9451,20,15,1,1,19,3,3,3,389
387,MU537,6,9,0,1,19,2,4,3,540
388,MU5405,103,15,0,1,19,2,4,2,363
389,FM9305,63,15,0,1,19,4,3,1,388
390,FM9201,110,15,0,1,20,4,2,1,389
391,FM9127,19,15,0,1,20,4,1,0,388
392,MU5423,109,6,1,1,20,4,0,1,473
393,MU5103,45,19,1,1,19,3,3,2,955
394,CZ3548,40,21,1,1,20,0,7,4,688
395,MU5691,107,6,1,1,20,3,4,2,409
396,FM9251,13,15,1,1,20,4,1,3,350
397,9C8847,98,5,1,1,20,1,7,7,1020
398,HO1097,30,21,0,1,20,7,1,5,482
399,CZ3576,52,5,1,1,20,2,7,8,1125
400,SC4662,24,15,1,1,20,5,3,6,939
401,NX137,0,6,1,1,20,6,3,7,1034
402,HO1255,111,5,1,1,21,4,1,1,453
403,MF8502,23,15,1,1,21,5,3,7,1021
404,MU5393,74,15,0,1,21,2,0,4,443
405,MU5337,49,6,1,1,21,2,5,8,938
406,CZ3592,55,15,0,1,21,3,3,2,471
407,MU5153,29,9,1,1,21,1,5,6,840
408,MF8371,25,15,1,1,22,4,5,5,658
409,9C8823,10,1,0,1,21,2,8,8,1140
410,FM817,2,15,1,1,21,4,6,8,1086
411,9C8881,9,5,1,1,22,6,4,8,921
412,MU5303,72,15,1,1,22,5,6,9,1260
413,SC4950,26,15,1,1,22,6,3,5,895
414,FM9297,75,12,0,1,22,5,4,6,1080
415,MU5105,44,9,1,1,22,5,2,1,600
416,CZ3534,53,20,1,1,22,7,5,6,1160
417,SC4668,32,15,1,1,22,5,3,3,817
418,NS3220,33,15,1,1,23,4,0,2,387
419,HO1209,27,6,1,1,22,3,3,4,684
420,CA1832,42,21,1,1,23,3,3,4,726
421,KN5738,67,15,1,1,23,2,4,3,600
422,FM9391,70,15,0,1,23,2,4,1,540
423,MU5665,51,5,1,1,23,2,3,3,622
424,MU2506,57,15,0,1,23,3,4,4,727
425,MF8574,28,15,0,1,23,4,3,3,693
426,MU5305,39,9,1,1,23,4,3,6,960
427,MU5107,54,9,1,1,23,3,1,3,600
428,HU7132,16,15,1,1,23,4,2,5,688
429,KN2318,50,15,1,1,24,3,2,4,550
430,MU5275,47,6,1,1,24,2,3,5,731
431,CA4544,24,15,1,1,24,2,3,5,689
432,CZ3524,45,19,1,1,24,2,4,7,801
433,MU2409,59,15,1,1,24,3,4,7,747
434,FM9467,31,15,0,1,24,3,5,6,780
435,9C8837,11,5,1,1,24,3,5,7,965
436,MU2219,48,6,0,1,25,4,2,5,900
437,CZ3966,58,2,1,1,24,4,4,8,1264
438,FM9457,21,15,1,1,25,4,3,6,1103
439,CZ3262,61,15,1,1,25,5,2,6,1104
440,MU5341,52,5,1,1,25,5,1,6,939
441,MU2154,49,6,0,1,25,2,0,4,473
442,FM9573,26,15,1,1,26,1,3,3,593
443,9C8865,10,5,1,1,26,2,4,4,780
444,MU5802,29,21,1,1,26,3,3,3,685
445,HU7606,37,9,1,1,25,0,6,7,1180
446,MU5301,60,15,1,1,26,4,3,5,914
447,MU2469,56,15,0,1,26,6,2,4,840
448,FM9357,22,15,0,1,26,4,4,6,984
449,CA1837,30,9,1,1,26,4,3,2,583
450,MU5427,55,15,1,1,26,4,5,6,899
451,9C8855,9,5,1,1,26,4,4,7,832
452,CZ3554,53,9,1,1,26,4,5,8,875
453,9C8829,100,5,0,1,27,4,5,10,1140
454,MU5647,51,2,1,1,27,6,5,8,1044
455,MU5519,69,15,0,1,27,5,7,9,1260
456,FM9333,25,15,1,1,27,5,7,7,970
457,SC8744,24,15,1,1,27,6,4,4,576
458,9C8807,11,5,1,1,27,4,8,9,1320
459,KA813,2,9,1,1,27,5,7,7,960
460,MU2508,44,15,0,1,27,5,8,9,1268
461,MU5804,57,15,1,1,27,7,5,8,1004
462,MU2156,31,5,0,1,27,6,7,11,1387
463,HO1159,28,6,1,1,27,7,4,9,1166
464,MU5643,64,1,1,1,27,8,5,10,1260
465,FM9309,36,15,1,1,28,8,4,9,1171
466,FM9103,27,15,1,1,28,7,5,9,1236
467,MU9726,32,14,1,1,28,6,4,8,1061
468,HO1269,33,1,0,1,28,5,4,6,860
469,CZ3532,42,19,1,1,28,5,3,5,753
470,9C8947,99,1,0,1,28,4,7,10,1440
471,NX109,7,2,1,1,28,4,6,9,1201
472,MU2403,63,15,1,1,28,4,6,7,960
473,9C8765,9,5,1,1,29,5,8,7,997
474,NH970,4,20,0,1,29,5,7,7,1042
475,MU5109,38,9,1,1,29,6,3,3,600
476,FM9219,21,15,0,1,29,6,5,5,1002
477,9C8775,114,5,1,1,29,5,6,5,1140
478,MU5097,5,9,0,1,29,8,4,3,758
479,MU2434,109,1,0,1,29,5,7,6,1140
480,MU5271,58,2,0,1,29,7,7,5,1020
481,MU2158,48,6,0,1,29,6,10,6,1289
482,SC4664,34,15,1,1,29,6,4,3,712
483,MU5155,105,5,1,1,29,5,5,4,840
484,MF8377,22,15,1,1,29,7,5,5,939
485,FM9063,62,15,1,1,29,4,5,6,1140
486,SC4864,35,15,1,1,30,7,4,5,926
487,MU5307,61,15,1,1,30,8,3,4,1004
488,TV9866,29,8,0,1,30,6,5,6,1168
489,MU5345,47,6,1,1,30,8,5,6,1229
490,FM9329,60,15,0,1,30,5,3,4,696
491,HO1125,26,6,0,1,30,7,4,7,1242
492,CZ3538,54,20,1,1,30,4,2,3,604
493,HO1215,23,6,0,1,30,5,3,5,878
494,FM9209,50,15,1,1,30,6,3,5,882
495,MU5515,49,6,1,1,31,3,1,4,468
496,FM9403,25,15,0,1,31,2,2,5,637
497,MF8582,24,15,1,1,31,3,4,3,530
498,HO1147,28,6,1,1,31,2,3,6,676
499,MU5429,51,5,1,1,31,1,3,7,819
500,FM845,1,9,1,1,31,3,2,7,850
501,CZ6982,55,15,0,1,31,4,4,9,1022
502,MU2160,59,6,0,1,31,4,3,5,786
503,MU5806,44,8,1,1,31,3,3,6,858
504,FM9375,33,6,0,1,31,4,1,7,844
505,MU5347,52,6,1,1,31,3,1,7,1000
506,MU5111,14,9,1,1,32,3,2,5,600
507,FM823,4,15,0,1,32,2,5,3,720
508,CZ3540,46,8,1,1,32,1,6,4,835
509,FM9315,32,15,1,1,32,2,6,4,808
510,FM9549,16,15,0,1,32,3,5,4,780
511,FM9521,36,15,1,1,32,4,5,4,894
512,FM9207,57,15,0,1,32,5,3,6,960
513,MU2055,3,2,1,1,32,6,5,7,1069
514,FM9423,101,15,1,1,33,6,4,3,600
515,MU5113,39,9,1,1,33,5,6,7,900
516,CI202,6,9,0,1,33,6,6,7,934
517,MU2522,47,15,0,1,33,4,4,4,600
518,MU5543,35,5,1,1,33,5,6,6,693
519,MF8317,27,15,1,1,33,6,4,6,685
520,FM9185,61,15,1,1,33,5,4,6,749
521,MF8586,34,15,0,1,33,5,2,4,503
522,MU5313,29,8,1,1,33,6,2,4,719
523,9C8995,98,5,1,1,33,5,6,8,1140
524,FM9379,56,15,1,1,33,5,5,6,960
525,MU5439,48,1,1,1,34,3,4,4,660
526,HO1221,26,6,1,1,34,4,5,3,595
527,MU5385,50,5,0,1,34,4,7,3,695
528,FM9361,49,15,0,1,34,4,6,2,528
529,TV9882,40,8,0,1,34,5,5,2,590
530,MU5808,37,8,1,1,34,4,9,5,973
531,MU5115,13,9,1,1,34,6,4,4,720
532,9C8949,9,5,1,1,34,5,10,6,1192
533,SC4670,21,15,1,1,34,7,4,6,669
534,KA883,0,2,1,1,34,5,8,8,1093
535,CZ6974,58,15,0,1,34,7,7,8,1068
536,FM9116,28,15,1,1,34,7,4,6,776
537,HO1155,38,21,1,1,34,8,5,9,1100
538,FM9501,25,15,0,1,35,6,1,5,577
539,MU5117,45,10,1,1,34,7,3,9,973
540,CZ3562,53,9,1,1,34,6,5,10,1199
541,CZ3526,54,9,1,1,35,6,4,8,901
542,MU5810,55,15,1,1,35,3,5,5,831
543,SC4850,24,15,1,1,35,3,5,5,720
544,MU5689,57,15,1,1,35,3,5,5,709
545,9C8885,10,1,1,1,35,4,4,5,796
546,MU5353,46,9,1,1,35,5,3,4,509
547,FM9425,1,15,0,1,36,5,1,4,647
548,MU5219,51,6,1,1,35,4,6,8,1214
549,SC4666,23,15,1,1,35,5,4,7,1002
550,MU2405,60,15,1,1,36,4,4,7,903
551,CZ6996,52,15,0,1,36,3,3,4,653
